,RHA015__A549__turquoise,RHA016__A549__turquoise,RHA017__A549__turquoise,RHA018__A549__turquoise,RHA028__A549__turquoise,RHA029__A549__turquoise,RHA030__A549__turquoise,RHA031__A549__turquoise,RHA032__A549__turquoise,RHA033__A549__turquoise,RHA034__A549__turquoise,RHA035__A549__turquoise,RHA036__A549__turquoise,RHA037__A549__turquoise,RHA038__A549__turquoise,RHA039__A549__turquoise,RHA040__A549__turquoise,RHA041__A549__turquoise,RHA042__A549__turquoise,RHA043__A549__turquoise,RHA044__A549__turquoise,RHA045__A549__turquoise,RHA046__A549__turquoise,RHA047__A549__turquoise,RHA048__A549__turquoise,RHA049__A549__turquoise,RHA050__A549__turquoise,RHA051__A549__turquoise,RHA052__A549__turquoise,RHA053__A549__turquoise,RHA054__A549__turquoise,RHA055__A549__turquoise,RHA056__A549__turquoise,RHA057__A549__turquoise,RHA058__A549__turquoise,RHA059__A549__turquoise,RHA060__A549__turquoise,RHA061__A549__turquoise,RHA062__A549__turquoise,RHA063__A549__turquoise,RHA064__A549__turquoise,RHA065__A549__turquoise,RHA066__A549__turquoise,RHA067__A549__turquoise,RHA068__A549__turquoise,RHA069__A549__turquoise,RHA070__A549__turquoise,RHA071__A549__turquoise,RHA072__A549__turquoise,RHA073__A549__turquoise,RHA074__A549__turquoise,RHA075__A549__turquoise,RHA076__A549__turquoise,RHA077__A549__turquoise,RHA078__A549__turquoise,RHA079__A549__turquoise,RHA080__A549__turquoise,RHA081__A549__turquoise,RHA082__A549__turquoise,RHA084__A549__turquoise,RHA085__A549__turquoise,RHA086__A549__turquoise,RHA087__A549__turquoise,RHA088__A549__turquoise,RHA089__A549__turquoise,RHA091__A549__turquoise,RHA092__A549__turquoise,RHA093__A549__turquoise,RHA094__A549__turquoise,RHA095__A549__turquoise,RHA096__A549__turquoise,RHA097__A549__turquoise,RHA098__A549__turquoise,RHA099__A549__turquoise
RPL23,12.351265021498559,12.361414725104533,12.27341972703114,11.757060760625881,12.282237073946249,12.23584371413051,11.717487935154805,12.441014467707912,12.679990230721533,12.899015092112494,11.95693874943205,11.479275030250205,12.55612521338754,11.8839644050941,11.750543700413202,12.787347569947816,12.880536308058826,12.379150897218748,11.940658627980678,12.218620749113914,13.018980789760677,11.890165458908061,12.533862613323167,12.33858040711121,12.96385158268486,12.888807925232516,12.295260975034507,12.671353088373857,13.202785009582213,12.399598369120115,11.243102561158478,11.964651324309848,12.144495739318184,11.558774646750171,11.086036679616948,11.962498414347765,12.120383694943035,11.972746495619024,12.096313251949308,12.396085617235538,12.247482534760916,12.740501777016915,12.568134262909163,11.660597632899266,12.32701644570979,12.81396752729254,12.818262608304474,12.194510639720585,10.496743948671671,12.181618168395818,12.104533234590681,12.258898698675203,10.451540833017832,12.427001117086501,11.399203143857203,12.364785800568065,12.786126658145525,12.296488954508531,12.434719435603322,11.806195147499322,12.51316748078235,12.288430662842114,12.738265406421538,12.429529663519592,12.223090655216724,12.063472607210006,11.55507318592504,11.515763890945218,12.256114314546789,11.858761984407954,12.840138638180877,12.173346090371732,12.6295638104549,12.067484780252023
FN1,2.82313384215545,8.766343383645708,3.3069081867926666,0.10284313380377111,0.0,8.93297945820151,7.612138673851173,10.756055879075388,7.64866676202026,6.855703222165925,0.1945737534779297,0.21391211652756004,1.748817569019089,9.567478899731523,7.782598587642294,1.1348846239777022,7.075521934990096,10.855919640707645,8.081371586611203,0.35107081649238425,9.470563301244614,5.498349810033746,0.0,9.686160823553998,10.51975417949812,3.6706024347046644,9.512625911627044,6.900118102504495,0.0,11.855701665080373,2.8148292970407254,9.082657355397542,6.1869838048944725,0.5964209267069693,12.911206582876183,5.888312202194849,9.098005756168478,10.366070813661489,7.813627295538094,9.004203609023516,8.384956388384866,6.18097728375608,3.1214050418278805,10.435430659915406,4.75794597740376,9.494111549900014,1.9768071916824128,7.024707519807542,5.483267610215986,12.341757862734843,10.229455740134165,0.0,10.604581026403551,0.43730978053741176,0.22372897423889598,5.156954751991294,7.8582794528828455,8.415830481802173,6.458877386142855,9.505632942377138,4.474118005244073,1.0620664351767848,0.46122573984630943,3.083324013183192,0.4831961396819149,9.02405367107428,5.584622826279532,10.13535017064689,10.718481503224327,8.459222576654955,0.2764728438537424,0.5754275480394668,1.4557230645306356,7.712375672880673
UBC,9.8157083059201,10.439955517478156,8.107478646626618,10.531147490998126,9.737125634270244,9.636107985227595,10.00381302654857,9.131255069225983,10.727682254114832,10.4222119724421,7.789344533565338,11.643315077669529,9.741687755782374,10.761542921965239,10.49487558012589,10.963857000033581,10.472345607007929,9.707455768703484,8.436844771890938,5.960963408305526,10.432855041880837,9.45311421351534,10.848263004145393,11.189898668023167,9.717460516679704,7.118515466809646,9.33690372047785,11.712230349091064,11.949115399101986,10.613577694074625,8.437801998901636,11.188230290819199,10.95252286107599,10.686229120913822,10.492133593095767,11.09125685664302,9.606551418128463,8.95740390190044,11.320467754412416,9.860599720258508,8.785318409813126,10.061600709410905,9.645177453894208,9.859676098351578,10.227844542531344,7.363197365054684,11.312928322339623,10.086826217702072,8.067789276547604,11.195046103013574,11.0498893798645,11.282184938497252,5.108591362822835,10.002604079859783,9.127047685039491,11.268120884759625,9.246398585798863,9.82563936658693,9.230126141378078,10.999605459131164,11.1061637723148,9.130724991118873,5.847551004810891,9.290864396352497,4.574646504018891,12.886334845726369,10.06463499638979,11.000563442710106,9.38272128363646,9.962037071486604,10.745001973976734,9.737666483507219,10.28002835661061,12.132580055623958
MDM2,4.896916024784285,5.4741244965165325,7.66694827583376,2.043970866733039,6.9081043532165625,7.015136243797379,4.79110557041253,4.695620846047112,5.846490808671732,9.847475526060487,7.939050227106713,2.0781213396200973,6.029017714645563,9.717491362427555,0.2601509451216314,9.16944402292781,6.084746746478407,1.8074826979598049,6.21814180840493,3.278911046783334,3.6494085238188063,8.208444100951459,2.8653289503300683,0.0,8.190338303986499,9.089638502544613,5.687945299905453,8.02685537634458,5.480617350019996,2.1391354688695663,8.078988688785987,3.192486147313036,5.959248521099041,7.158579395087182,4.840357482713315,6.025332277956991,6.9861037040700875,3.031882129541526,3.977499745996287,8.075083323429594,4.482648253342169,8.569836625376574,11.098236099311297,9.340382009896727,12.178017422391035,1.0612301162463118,8.89383845937163,9.382788279131663,7.09743171267534,9.306966224025304,5.177706553424763,3.0142981554083628,1.4219530476190876,8.250701084461154,6.637957953406939,7.372351430185623,6.039912625521581,0.0,4.619471703262492,1.1868237966813917,5.368796280960131,4.066631714034814,4.66899273928194,5.295296911147564,10.885398958400783,9.117107997343103,7.815857177724104,9.357868659019921,4.673590342753818,5.320123598040615,11.433736691920878,10.345737882089724,7.652823466828653,1.7251041800000178
SHFM1,8.140533278617328,9.753788364432987,7.217502165555167,7.210875863268861,9.168611952358162,9.762950034776058,7.504000599524464,8.411871087204132,9.198609560697383,8.807834667196133,7.800369304632891,9.428402050036725,9.975604394162385,9.606170142527734,7.814460700831045,9.710443131809631,9.28673794285098,9.202356497815465,9.633251370872243,4.627355862066138,10.449489155519592,8.964285989459837,8.640577549365567,8.892105616089019,5.192849069615512,9.31937858505373,8.356936088694587,9.545333267502217,9.92363203873306,9.979282276411064,6.253215916603098,9.349179479009628,8.59125304329617,8.434186178202763,10.079911395803277,9.785805537845638,8.942247640722501,9.100149815313046,9.606558820540995,9.557681956135934,8.436211820954217,8.631559055515298,9.357921427997093,9.175666807724678,9.580863411441598,8.739787359207956,6.916811005201582,9.361435013447782,9.57061472176119,9.388921377998189,9.96010187434705,9.856027059437967,3.8589060132658877,9.049028974799674,8.055380058178415,8.899414327447587,7.979236539366181,8.880795706520109,9.011073471593061,7.788666137013302,9.880651857086852,9.904282371428689,8.417671111999928,8.441080885735778,2.609062283383873,9.443349714843587,8.360171108238953,9.000693003413014,9.202549956029847,8.752671665241984,8.625935273629961,7.406562179723151,9.710617046025071,11.767824433364986
HIF1A,8.707003591649553,7.381880333660704,1.6264952079655428,5.349067988372248,4.970642019010087,9.157440416951498,9.413086287873332,10.848388209560113,9.161472041710434,9.253003598373082,9.190516096215559,0.0,8.781385944105125,5.157896621245279,7.459620140330412,2.9432499750188743,6.2801323175055,9.196884859668595,9.702910297597722,10.108524456778168,6.7070001393712,8.62844554013718,4.340441208588491,8.455331330540988,8.648551726035675,8.667697019032383,7.714925485062817,8.721546970039403,4.136421096508295,7.680057062136966,4.582140475909743,6.444852559422292,8.405711619294257,8.233959940111959,8.124436705299955,8.335363555156327,2.3314214643033377,6.089116748943186,9.59857549865146,9.020916064562536,5.127488837923228,8.588216163918075,6.152294984239587,7.240543310373932,7.3723427230174945,6.0153325306581005,7.658661362044442,6.517081955867723,5.588909479936256,5.481621858271363,6.3147019629389085,7.781117058043909,8.817357843718426,6.925951960701949,8.47937609116166,9.108242162740503,11.54018132720656,10.021202088504818,7.524149891285236,9.245921057467104,4.647187850791484,1.9925110426145165,6.9369205617749685,4.011343561032899,9.632724439292602,7.399846130824254,4.443241953604002,9.104672131282562,7.6958685737295625,2.3638971490282135,7.335443952275681,9.173592195913132,9.125441884967058,0.0
MRPS33,9.342930250291019,8.80400837075391,8.294349643779322,7.425534834802386,10.239395654640607,9.257830955465884,8.415315022313914,8.798883246681946,8.188084370561153,10.502841746796376,9.309696890835896,11.153051624880005,7.177648756296661,7.892724944452306,7.837022347186329,7.210544721955508,7.121823581256629,8.795435790074615,6.183851707485234,6.171889335536599,8.305797285067102,9.181405731400188,8.69322557602549,8.131928964981507,9.608402688331168,8.493255035120669,6.5859735357096785,10.298177153719703,0.0,8.755555261972145,9.941760705548148,8.743269229035132,7.0562366849842695,6.842237186423994,0.0,8.16047653641289,7.118681571861059,10.025208787826896,8.733476367928233,8.023249806875128,7.692085399129076,8.811955829209777,6.761936786047314,7.439423672841603,8.185623763699658,9.473178085328037,6.207174447999169,7.097189387235113,2.9417166972843263,0.0,6.387981109851758,10.728855861477568,2.4720171941799327,8.584755849913131,8.41591074170805,8.584267284848245,6.653356725337091,9.089826499472332,2.7164224812795807,9.07089911887071,8.584075571820158,10.389792645379343,0.0,1.5192751801083166,0.0,8.379789888039934,8.093697492696636,6.54146063206302,1.8893489319100374,9.269096281688938,8.229539857739535,8.520052883889402,9.99693948234917,5.158450137263494
ATIC,9.144936049580071,7.810275996559448,10.379345873573792,2.048291994826406,8.467715581949362,5.955591791753994,5.2903801668305634,7.531069492725954,2.2171345333451447,8.685337498439806,8.789823784965483,0.0,1.986847773601391,8.845878898939109,8.15434725805363,8.528075072706246,6.597178055088508,6.947783026255419,7.14145322787431,0.0,8.399393292768584,5.760904866667074,9.939261845265868,9.508975264465626,9.089373676581971,7.669331548008477,5.690162841431725,0.0,7.373804790577022,6.8804406478879,8.093042480950187,10.205976475912344,7.180038429289685,6.545908152623246,4.75403231835604,10.087741275739223,5.8106333255040825,6.767085340354562,8.319997198695303,7.9586165115901,6.074199276460297,7.790530960475039,6.227506202970557,10.39385161708974,6.737551570008282,7.218887700138588,11.079284766028465,9.06651170903115,5.975123429981743,9.04096364333164,6.062881552266736,3.402507993850899,10.299276716515473,9.688615745590207,8.644671082287363,9.197830998012197,2.4287963074001073,8.259220692225837,5.639990363059144,9.091057141710374,8.634008724966211,1.9274869052897194,9.335522111846611,0.0,0.0,9.640892015177439,8.78013618290883,6.372067549433253,6.994545783374827,8.209326636850026,0.0,7.552300212211543,7.643697484591282,7.104976084934421
PSMA3,8.086974788325847,10.032899792060974,1.5616389614351265,9.464901020015356,10.577721491714636,8.775218486069965,9.446169367768233,7.69930870140276,8.35282030710462,6.0702218624978475,9.24216898448506,8.395469871445682,9.812637803177223,8.655745367329946,10.259872700342974,10.038452643667846,9.195286073784343,8.810025299332702,7.285180248703969,4.719271073054306,8.498546079116789,7.698989358277889,8.542180649888099,9.991776916951586,6.9880711269336,7.258113722262119,9.926937873502865,9.25156525373209,8.585920222438391,8.529875593033157,9.480319658386604,2.1946449796705667,9.985785024833827,10.211146076695416,0.0,9.586485167837376,8.971382606881267,7.244487523374884,8.301528203709193,8.832503978322142,9.486686220254661,9.834072792226182,9.284398456860073,9.186490653344235,8.108268303397926,10.396026731177404,1.7911389194270102,10.101870648379418,10.39675460819819,7.446719406231572,9.866047134986,10.435732759006966,7.061614209259231,6.200243421259168,9.676655283545324,8.658993325845529,9.966140586335742,0.7610239474074612,8.180043403645618,9.207275495130048,8.512993233218829,7.2790626475208695,6.230829367393238,1.5634119833373035,5.809982869337873,9.065152211117693,8.639076567261787,8.20121726203653,7.533057132591521,8.975939655741284,8.223683184622047,9.890493812976503,8.016061680881728,7.471821508443378
PRMT5,0.0,0.0,8.509339557398862,10.001605231966865,3.3234421299509167,6.935223994060032,7.29239526129209,0.0,0.0,0.0,9.475176102632375,0.0,6.636192472286876,9.590854606673958,0.0,0.0,0.0,3.9892298543215006,5.344863995946542,0.0,4.270872756186301,7.3367832450865595,7.709897146039748,8.62703770174733,0.0,10.90183230578549,0.0,3.3738333209641267,6.944741339184569,4.201398619974322,0.0,0.0,0.0,1.0587805773283252,0.0,0.0,0.0,4.52426431482084,0.0,7.400853826083734,3.542666652296753,8.725649144957577,9.090260652273184,9.47631484957422,0.0,9.041735801329926,0.0,0.0,0.0,0.0,1.843598002139796,0.0,4.9593621374825965,0.5251066942322038,0.0,0.0,7.3394670144810865,0.0,0.0,0.0,5.932845442465615,0.0,4.6129657791939085,0.0,2.3980766920674452,10.837407176057617,6.196866668073233,2.520067660290698,3.6413148094314653,0.0,0.0,8.499921606659026,8.492181672780314,0.0
